x_spline,y_spline,y_spline_smoothed
6.896256019234850100e+03,5.646966290799875878e+02,5.123521859736061970e+02
6.924289580288649631e+03,5.640158062635927081e+02,5.147378203748878605e+02
6.952323141342450072e+03,5.652274820727587894e+02,5.171097194256872172e+02
6.980356702396250512e+03,5.635120344982300367e+02,5.194679000255174515e+02
7.008390263450050952e+03,5.603861488525811865e+02,5.218123955106138965e+02
7.036423824503850483e+03,5.583985514940065968e+02,5.241432555200849492e+02
7.064457385557650923e+03,5.597948772921627096e+02,5.264605480770220538e+02
7.092490946611451363e+03,5.624530025759620457e+02,5.287643526951732156e+02
7.120524507665251804e+03,5.642005323680723450e+02,5.310547495255306103e+02
7.148558068719051334e+03,5.663350047891549366e+02,5.333318306950857277e+02
7.176591629772851775e+03,5.692980451671558058e+02,5.355956976624593153e+02
7.204625190826652215e+03,5.732397345629218535e+02,5.378464629737557061e+02
7.232658751880451746e+03,5.761434349119186891e+02,5.400842486190066438e+02
7.260692312934252186e+03,5.799789638330832986e+02,5.423091846376029252e+02
7.288725873988052626e+03,5.851323737916768550e+02,5.445214099874667681e+02
7.316759435041853067e+03,5.909052374567625066e+02,5.467210713112301619e+02
7.344792996095652597e+03,5.961838072949342404e+02,5.489083244724632777e+02
7.372826557149453038e+03,6.001096323549372755e+02,5.510833336801662199e+02
7.400860118203253478e+03,6.028100470698549316e+02,5.532462694263095955e+02
7.428893679257053918e+03,6.047789115310828265e+02,5.553973086301839430e+02
7.456927240310853449e+03,6.052835915472464876e+02,5.575366341850062781e+02
7.484960801364653889e+03,6.050103576403114403e+02,5.596644361675299706e+02
7.512994362418454330e+03,6.049649839551129844e+02,5.617809130571242804e+02
7.541027923472254770e+03,6.057728968221243804e+02,5.638862677702157953e+02
7.569061484526054301e+03,6.080087019694009314e+02,5.659807104915573746e+02
7.597095045579854741e+03,6.088944325117254266e+02,5.680644573100141770e+02
7.625128606633655181e+03,6.083745200398929001e+02,5.701377301366843540e+02
7.653162167687455621e+03,6.059992995897623587e+02,5.722007500840851435e+02
7.681195728741255152e+03,6.002257495546626842e+02,5.742537419049735945e+02
7.709229289795055593e+03,5.933086732094382114e+02,5.762969369333997065e+02
7.737262850848856033e+03,5.869157901002105291e+02,5.783305716005436352e+02
7.765296411902656473e+03,5.833930080451317508e+02,5.803548858786706433e+02
7.793329972956456004e+03,5.818311135830426792e+02,5.823701177234444231e+02
7.821363534010256444e+03,5.799759269648704958e+02,5.843765090450328898e+02
7.849397095064056884e+03,5.791197057565958630e+02,5.863743031230465022e+02
7.877430656117856415e+03,5.792874148432741777e+02,5.883637461062928651e+02
7.905464217171656855e+03,5.798337540435131814e+02,5.903450872828558431e+02
7.933497778225457296e+03,5.803882569241171723e+02,5.923185754765663660e+02
7.961531339279257736e+03,5.807264136773873133e+02,5.942844561472986697e+02
7.989564900333057267e+03,5.811830023058176948e+02,5.962429725678572368e+02
8.017598461386857707e+03,5.819321079358546740e+02,5.981943689037883587e+02
8.045632022440658147e+03,5.832805557625711117e+02,6.001388891203305320e+02
8.073665583494458588e+03,5.853669073705684696e+02,6.020767786363012419e+02
8.101699144548258118e+03,5.867059993876057433e+02,6.040082790195551752e+02
8.129732705602058559e+03,5.879151511317270433e+02,6.059336273419362442e+02
8.157766266655858999e+03,5.890378502275206074e+02,6.078530577530372057e+02
8.185799827709659439e+03,5.905380235828962441e+02,6.097668040996678656e+02
8.213833388763459880e+03,5.926323259447050305e+02,6.116750996579993398e+02
8.241866949817260320e+03,5.944651687406078509e+02,6.135781724408282116e+02
8.269900510871058941e+03,5.966048122971942576e+02,6.154762450788588239e+02
8.297934071924859381e+03,5.987649078501297026e+02,6.173695367911235508e+02
8.325967632978659822e+03,6.007825137336093348e+02,6.192582642637966046e+02
8.354001194032460262e+03,6.033169217278424412e+02,6.211426356669737743e+02
8.382034755086260702e+03,6.060337850445816912e+02,6.230228550975692769e+02
8.410068316140061143e+03,6.086868168577868801e+02,6.248991235698533728e+02
8.438101877193861583e+03,6.110726071374525645e+02,6.267716390403103333e+02
8.466135438247660204e+03,6.131553497603987353e+02,6.286405933790219933e+02
8.494168999301460644e+03,6.152025976907082168e+02,6.305061719733155314e+02
8.522202560355261085e+03,6.177886044456444097e+02,6.323685547425913001e+02
8.550236121409061525e+03,6.206865184253060761e+02,6.342279151253862892e+02
8.578269682462861965e+03,6.238327877917606656e+02,6.360844182743524016e+02
8.606303243516662405e+03,6.263654294540285719e+02,6.379382179494378988e+02
8.634336804570462846e+03,6.284297190821972663e+02,6.397894640866649070e+02
8.662370365624263286e+03,6.307526350673207389e+02,6.416383014259731681e+02
8.690403926678061907e+03,6.331327098648623632e+02,6.434848648371734043e+02
8.718437487731862348e+03,6.357498099762938182e+02,6.453292804248255834e+02
8.746471048785662788e+03,6.385202637403099288e+02,6.471716648258689020e+02
8.774504609839463228e+03,6.411941345695363452e+02,6.490121384604202603e+02
8.802538170893263668e+03,6.440299074219154818e+02,6.508508167096754278e+02
8.830571731947064109e+03,6.465841117807859746e+02,6.526878042794763815e+02
8.858605293000864549e+03,6.487990289205658883e+02,6.545231980665789706e+02
8.886638854054664989e+03,6.503776567223266056e+02,6.563570844158110731e+02
8.914672415108463611e+03,6.513823207425224382e+02,6.581895440545158635e+02
8.942705976162264051e+03,6.528489157414979900e+02,6.600206490003233739e+02
8.970739537216064491e+03,6.545544152964322393e+02,6.618504642176333164e+02
8.998773098269864931e+03,6.564063525353828936e+02,6.636790498739280793e+02
9.026806659323665372e+03,6.583189987357991413e+02,6.655064579646156062e+02
9.054840220377465812e+03,6.600576609130087036e+02,6.673327349101732580e+02
9.082873781431266252e+03,6.618775227076290548e+02,6.691579176593038483e+02
9.110907342485064873e+03,6.635290971816857564e+02,6.709820369745888229e+02
9.138940903538865314e+03,6.651427623023673732e+02,6.728051168971293237e+02
9.166974464592665754e+03,6.667212180564073378e+02,6.746271760222466582e+02
9.195008025646466194e+03,6.685213617089715399e+02,6.764482281104105823e+02
9.223041586700266635e+03,6.705417902764439759e+02,6.782682767634158836e+02
9.251075147754067075e+03,6.727759957218852378e+02,6.800873176093190295e+02
9.279108708807867515e+03,6.750326470671304833e+02,6.819053398809796818e+02
9.307142269861667955e+03,6.771348312486236409e+02,6.837223260653441912e+02
9.335175830915466577e+03,6.797337981070716069e+02,6.855382588415137661e+02
9.363209391969267017e+03,6.824021548535405373e+02,6.873531149844293395e+02
9.391242953023067457e+03,6.852365505307758440e+02,6.891668604024359865e+02
9.419276514076867898e+03,6.883644073960347214e+02,6.909794504608756824e+02
9.447310075130668338e+03,6.920380111108974006e+02,6.927908406639631949e+02
9.475343636184468778e+03,6.959989926727305374e+02,6.946009925621459615e+02
9.503377197238269218e+03,6.993129566329415638e+02,6.964098615374382462e+02
9.531410758292069659e+03,7.019268507711306029e+02,6.982173886783627950e+02
9.559444319345868280e+03,7.043456151403919421e+02,7.000235061359724114e+02
9.587477880399668720e+03,7.069796553115837696e+02,7.018281494861239480e+02
9.615511441453469160e+03,7.097784568830472836e+02,7.036312520372284780e+02
9.643545002507269601e+03,7.123652338011881966e+02,7.054327309920356583e+02
9.671578563561070041e+03,7.151678716053563676e+02,7.072324957069870379e+02
9.699612124614870481e+03,7.178763335044269525e+02,7.090304608753882576e+02
9.727645685668670922e+03,7.204799685164589391e+02,7.108265432940406754e+02
9.755679246722469543e+03,7.225727390249069231e+02,7.126206611739280561e+02
9.783712807776269983e+03,7.244739810000171474e+02,7.144127197073744355e+02
9.811746368830070423e+03,7.264592182216260881e+02,7.162026179066374425e+02
9.839779929883870864e+03,7.285865274165905703e+02,7.179902558825046981e+02
9.867813490937671304e+03,7.304119658743122727e+02,7.197755329702206382e+02
9.895847051991471744e+03,7.320443059465733313e+02,7.215583504351446891e+02
